"filename", "language", "C++", "CMake", "Python", "Ini", "JSON", "comment", "blank", "total"
"c:\Users\twinkboy42\Projects\bounce-tales\CMakeLists.txt", "CMake", 0, 48, 0, 0, 0, 0, 11, 59
"c:\Users\twinkboy42\Projects\bounce-tales\assets\textures\jump_pad.json", "JSON", 0, 0, 0, 0, 7, 0, 0, 7
"c:\Users\twinkboy42\Projects\bounce-tales\extra\levels\debug.json", "JSON", 0, 0, 0, 0, 41, 0, 0, 41
"c:\Users\twinkboy42\Projects\bounce-tales\extra\settings.ini", "Ini", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\twinkboy42\Projects\bounce-tales\scripts\curve.py", "Python", 0, 0, 146, 0, 0, 32, 26, 204
"c:\Users\twinkboy42\Projects\bounce-tales\scripts\space.py", "Python", 0, 0, 24, 0, 0, 4, 9, 37
"c:\Users\twinkboy42\Projects\bounce-tales\src\components\collidable.cpp", "C++", 33, 0, 0, 0, 0, 0, 6, 39
"c:\Users\twinkboy42\Projects\bounce-tales\src\components\physical.cpp", "C++", 57, 0, 0, 0, 0, 16, 14, 87
"c:\Users\twinkboy42\Projects\bounce-tales\src\components\sound_player.cpp", "C++", 51, 0, 0, 0, 0, 0, 7, 58
"c:\Users\twinkboy42\Projects\bounce-tales\src\core\asset_manager.cpp", "C++", 123, 0, 0, 0, 0, 0, 14, 137
"c:\Users\twinkboy42\Projects\bounce-tales\src\core\game.cpp", "C++", 87, 0, 0, 0, 0, 1, 11, 99
"c:\Users\twinkboy42\Projects\bounce-tales\src\core\music_player.cpp", "C++", 44, 0, 0, 0, 0, 0, 9, 53
"c:\Users\twinkboy42\Projects\bounce-tales\src\core\object_manager.cpp", "C++", 187, 0, 0, 0, 0, 28, 23, 238
"c:\Users\twinkboy42\Projects\bounce-tales\src\core\settings.cpp", "C++", 112, 0, 0, 0, 0, 0, 16, 128
"c:\Users\twinkboy42\Projects\bounce-tales\src\drawables\animation.cpp", "C++", 22, 0, 0, 0, 0, 0, 3, 25
"c:\Users\twinkboy42\Projects\bounce-tales\src\drawables\curved_shape.cpp", "C++", 41, 0, 0, 0, 0, 0, 6, 47
"c:\Users\twinkboy42\Projects\bounce-tales\src\drawables\primitive_sprite.cpp", "C++", 55, 0, 0, 0, 0, 0, 10, 65
"c:\Users\twinkboy42\Projects\bounce-tales\src\extra\collision_calculator.cpp", "C++", 180, 0, 0, 0, 0, 4, 33, 217
"c:\Users\twinkboy42\Projects\bounce-tales\src\extra\collision_math.cpp", "C++", 171, 0, 0, 0, 0, 0, 24, 195
"c:\Users\twinkboy42\Projects\bounce-tales\src\extra\earcut.cpp", "C++", 57, 0, 0, 0, 0, 0, 4, 61
"c:\Users\twinkboy42\Projects\bounce-tales\src\extra\randomizer.cpp", "C++", 13, 0, 0, 0, 0, 0, 4, 17
"c:\Users\twinkboy42\Projects\bounce-tales\src\extra\timer.cpp", "C++", 40, 0, 0, 0, 0, 0, 8, 48
"c:\Users\twinkboy42\Projects\bounce-tales\src\include\animation.hpp", "C++", 22, 0, 0, 0, 0, 0, 6, 28
"c:\Users\twinkboy42\Projects\bounce-tales\src\include\asset_manager.hpp", "C++", 28, 0, 0, 0, 0, 0, 8, 36
"c:\Users\twinkboy42\Projects\bounce-tales\src\include\background.hpp", "C++", 12, 0, 0, 0, 0, 0, 3, 15
